Alternative Host,Predator Supplmented,Weekday,Date,Intervals,Duration,Dorm #,final total,Clean,Moderate Infestation,Heavy Infestation,Tissue Damage,Dead,Total,Score,Ratio
Vetch,Yes,Monday,2-Jul,2,7,17,141,103,10,28,0,0,38,66,1.736842105
None,No,Monday,2-Jul,2,7,18,162,98,4,60,0,0,64,124,1.9375
None,Yes,Monday,2-Jul,2,7,19,134,102,19,13,0,0,32,45,1.40625
None,No,Monday,2-Jul,2,7,20,129,78,4,47,0,0,51,98,1.921568627
None,Yes,Monday,2-Jul,2,7,21,128,109,9,10,0,0,19,29,1.526315789
None,No,Monday,2-Jul,2,7,22,162,137,17,8,0,0,25,33,1.32
None,Yes,Monday,2-Jul,2,7,23,162,156,6,0,0,0,6,6,1
None,No,Monday,2-Jul,2,7,24,142,124,5,13,0,0,18,31,1.722222222
Clover,Yes,Thursday,5-Jul,3,10,1,62,35,11,16,0,0,27,43,1.592592593
Clover,No,Thursday,5-Jul,3,10,2,43,14,5,24,0,0,29,53,1.827586207
Clover,Yes,Thursday,5-Jul,3,10,3,52,24,25,3,0,0,28,31,1.107142857
Clover,No,Thursday,5-Jul,3,10,4,43,39,4,0,0,0,4,4,1
Clover,Yes,Thursday,5-Jul,3,10,5,84,67,13,4,0,0,17,21,1.235294118
Clover,No,Thursday,5-Jul,3,10,6,93,67,21,5,0,0,26,31,1.192307692
Clover,Yes,Thursday,5-Jul,3,10,7,57,34,18,5,0,0,23,28,1.217391304
Clover,No,Thursday,5-Jul,3,10,8,63,44,16,3,0,0,19,22,1.157894737
Vetch,Yes,Thursday,5-Jul,3,10,9,46,27,13,6,0,0,19,25,1.315789474
Vetch,No,Thursday,5-Jul,3,10,10,48,38,10,0,0,0,10,10,1
Vetch,Yes,Thursday,5-Jul,3,10,11,53,46,7,0,0,0,7,7,1
Vetch,No,Thursday,5-Jul,3,10,12,52,35,16,1,0,0,17,18,1.058823529
Vetch,Yes,Thursday,5-Jul,3,10,13,44,24,9,11,0,0,20,31,1.55
Vetch,No,Thursday,5-Jul,3,10,14,51,40,5,6,0,0,11,17,1.545454545
Vetch,Yes,Thursday,5-Jul,3,10,15,55,32,21,2,0,0,23,25,1.086956522
Vetch,No,Thursday,5-Jul,3,10,16,43,26,16,1,0,0,17,18,1.058823529
Vetch,Yes,Thursday,5-Jul,3,10,17,141,101,35,5,0,0,40,45,1.125
None,No,Thursday,5-Jul,3,10,18,162,123,30,9,0,0,39,48,1.230769231
None,Yes,Thursday,5-Jul,3,10,19,134,117,7,10,0,0,17,27,1.588235294
None,No,Thursday,5-Jul,3,10,20,129,64,8,53,4,0,65,126,1.938461538
None,Yes,Thursday,5-Jul,3,10,21,128,113,5,10,0,0,15,25,1.666666667
None,No,Thursday,5-Jul,3,10,22,162,142,8,12,0,0,20,32,1.6
None,Yes,Thursday,5-Jul,3,10,23,162,159,3,0,0,0,3,3,1
None,No,Thursday,5-Jul,3,10,24,142,121,11,10,0,0,21,31,1.476190476
Clover,Yes,Monday,9-Jul,4,14,1,62,40,5,16,1,0,22,40,1.818181818
Clover,No,Monday,9-Jul,4,14,2,43,2,0,40,1,0,41,83,2.024390244
Clover,Yes,Monday,9-Jul,4,14,3,52,43,4,3,2,0,9,16,1.777777778
Clover,No,Monday,9-Jul,4,14,4,43,36,7,0,0,0,7,7,1
Clover,Yes,Monday,9-Jul,4,14,5,84,69,14,1,0,0,15,16,1.066666667
Clover,No,Monday,9-Jul,4,14,6,93,60,5,16,12,0,33,73,2.212121212
Clover,Yes,Monday,9-Jul,4,14,7,57,36,3,18,0,0,21,39,1.857142857
Clover,No,Monday,9-Jul,4,14,8,63,37,11,15,0,0,26,41,1.576923077
Vetch,Yes,Monday,9-Jul,4,14,9,46,22,14,10,0,0,24,34,1.416666667
Vetch,No,Monday,9-Jul,4,14,10,48,31,15,2,0,0,17,19,1.117647059
Vetch,Yes,Monday,9-Jul,4,14,11,53,51,2,0,0,0,2,2,1
Vetch,No,Monday,9-Jul,4,14,12,52,31,15,3,3,0,21,30,1.428571429
Vetch,Yes,Monday,9-Jul,4,14,13,44,21,4,16,3,0,23,45,1.956521739
Vetch,No,Monday,9-Jul,4,14,14,51,20,8,23,0,0,31,54,1.741935484
Vetch,Yes,Monday,9-Jul,4,14,15,55,18,15,22,0,0,37,59,1.594594595
Vetch,No,Monday,9-Jul,4,14,16,43,22,8,12,1,0,21,35,1.666666667
Vetch,Yes,Monday,9-Jul,4,14,17,141,100,22,19,0,0,41,60,1.463414634
None,No,Monday,9-Jul,4,14,18,162,92,0,60,10,0,70,150,2.142857143
None,Yes,Monday,9-Jul,4,14,19,134,84,35,15,0,0,50,65,1.3
None,No,Monday,9-Jul,4,14,20,129,64,0,56,9,0,65,139,2.138461538
None,Yes,Monday,9-Jul,4,14,21,128,89,33,6,0,0,39,45,1.153846154
None,No,Monday,9-Jul,4,14,22,162,101,35,24,2,0,61,89,1.459016393
None,Yes,Monday,9-Jul,4,14,23,162,152,10,0,0,0,10,10,1
None,No,Monday,9-Jul,4,14,24,142,97,15,30,0,0,45,75,1.666666667
Clover,Yes,Thursday,12-Jul,5,18,1,62,0,4,56,2,0,62,122,1.967741935
Clover,No,Thursday,12-Jul,5,18,2,43,9,0,27,6,1,34,76,2.235294118
Clover,Yes,Thursday,12-Jul,5,18,3,52,26,3,19,4,0,26,53,2.038461538
Clover,No,Thursday,12-Jul,5,18,4,43,23,14,5,1,0,20,27,1.35
Clover,Yes,Thursday,12-Jul,5,18,5,84,40,29,15,0,0,44,59,1.340909091
Clover,No,Thursday,12-Jul,5,18,6,93,6,0,65,22,0,87,196,2.252873563
Clover,Yes,Thursday,12-Jul,5,18,7,57,29,3,24,1,0,28,54,1.928571429
Clover,No,Thursday,12-Jul,5,18,8,63,31,3,27,2,0,32,63,1.96875
Vetch,Yes,Thursday,12-Jul,5,18,9,46,20,5,20,1,0,26,48,1.846153846
Vetch,No,Thursday,12-Jul,5,18,10,48,12,15,21,0,0,36,57,1.583333333
Vetch,Yes,Thursday,12-Jul,5,18,11,53,22,17,11,3,0,31,48,1.548387097
Vetch,No,Thursday,12-Jul,5,18,12,52,23,4,23,2,0,29,56,1.931034483
Vetch,Yes,Thursday,12-Jul,5,18,13,44,17,3,13,10,1,27,63,2.333333333
Vetch,No,Thursday,12-Jul,5,18,14,51,18,0,33,0,0,33,66,2
Vetch,Yes,Thursday,12-Jul,5,18,15,55,26,0,29,0,0,29,58,2
Vetch,No,Thursday,12-Jul,5,18,16,43,20,3,15,5,0,23,48,2.086956522
Vetch,Yes,Thursday,12-Jul,5,18,17,141,45,4,82,6,4,96,202,2.104166667
None,No,Thursday,12-Jul,5,18,18,162,52,0,63,42,5,110,272,2.472727273
None,Yes,Thursday,12-Jul,5,18,19,134,63,3,56,9,3,71,154,2.169014085
None,No,Thursday,12-Jul,5,18,20,129,72,4,45,2,6,57,124,2.175438596
None,Yes,Thursday,12-Jul,5,18,21,128,68,24,35,1,0,60,97,1.616666667
None,No,Thursday,12-Jul,5,18,22,162,79,19,57,7,0,83,154,1.855421687
None,Yes,Thursday,12-Jul,5,18,23,162,89,28,41,4,0,73,122,1.671232877
None,No,Thursday,12-Jul,5,18,24,142,87,1,47,5,2,55,118,2.145454545
Clover,Yes,Monday,16-Jul,6,22,1,62,0,2,30,7,0,39,83,2.128205128
Clover,No,Monday,16-Jul,6,22,2,43,0,0,30,6,1,37,82,2.216216216
Clover,Yes,Monday,16-Jul,6,22,3,52,0,16,7,8,0,31,54,1.741935484
Clover,No,Monday,16-Jul,6,22,4,43,0,26,1,1,0,28,31,1.107142857
Clover,Yes,Monday,16-Jul,6,22,5,84,0,16,21,3,1,41,71,1.731707317
Clover,No,Monday,16-Jul,6,22,6,93,0,0,24,38,2,64,170,2.65625
Clover,Yes,Monday,16-Jul,6,22,7,57,0,1,23,10,0,34,77,2.264705882
Clover,No,Monday,16-Jul,6,22,8,63,0,2,31,5,3,41,91,2.219512195
Vetch,Yes,Monday,16-Jul,6,22,9,46,0,0,22,12,0,34,80,2.352941176
Vetch,No,Monday,16-Jul,6,22,10,48,0,23,7,1,0,31,40,1.290322581
Vetch,Yes,Monday,16-Jul,6,22,11,53,0,32,1,0,0,33,34,1.03030303
Vetch,No,Monday,16-Jul,6,22,12,52,0,13,17,5,0,35,62,1.771428571
Vetch,Yes,Monday,16-Jul,6,22,13,44,0,1,7,16,0,24,63,2.625
Vetch,No,Monday,16-Jul,6,22,14,51,0,0,30,14,0,44,102,2.318181818
Vetch,Yes,Monday,16-Jul,6,22,15,55,0,7,23,1,0,31,56,1.806451613
Vetch,No,Monday,16-Jul,6,22,16,43,0,0,9,10,2,21,56,2.666666667
Vetch,Yes,Monday,16-Jul,6,22,17,141,0,20,60,7,0,87,161,1.850574713
None,No,Monday,16-Jul,6,22,18,162,0,0,4,52,39,95,320,3.368421053
None,Yes,Monday,16-Jul,6,22,19,134,0,24,66,8,1,99,184,1.858585859
None,No,Monday,16-Jul,6,22,20,129,0,0,10,62,23,95,298,3.136842105
None,Yes,Monday,16-Jul,6,22,21,128,0,35,50,9,0,94,162,1.723404255
None,No,Monday,16-Jul,6,22,22,162,0,21,54,14,0,89,171,1.921348315
None,Yes,Monday,16-Jul,6,22,23,162,0,40,38,3,0,81,125,1.543209877
None,No,Monday,16-Jul,6,22,24,142,0,0,57,33,1,91,217,2.384615385
Clover,Yes,Thursday,19-Jul,7,25,1,62,0,4,16,13,2,35,83,2.371428571
Clover,No,Thursday,19-Jul,7,25,2,43,0,3,30,7,6,46,108,2.347826087
Clover,Yes,Thursday,19-Jul,7,25,3,52,0,10,7,9,0,26,51,1.961538462
Clover,No,Thursday,19-Jul,7,25,4,43,0,14,0,4,0,18,26,1.444444444
Clover,Yes,Thursday,19-Jul,7,25,5,84,0,4,31,9,0,44,93,2.113636364
Clover,No,Thursday,19-Jul,7,25,6,93,0,0,6,32,18,56,180,3.214285714
Clover,Yes,Thursday,19-Jul,7,25,7,57,0,3,13,16,3,35,89,2.542857143
Clover,No,Thursday,19-Jul,7,25,8,63,0,1,11,6,10,28,81,2.892857143
Vetch,Yes,Thursday,19-Jul,7,25,9,46,0,0,6,10,3,19,54,2.842105263
Vetch,No,Thursday,19-Jul,7,25,10,48,0,28,10,6,0,44,66,1.5
Vetch,Yes,Thursday,19-Jul,7,25,11,53,0,68,67,0,0,135,202,1.496296296
Vetch,No,Thursday,19-Jul,7,25,12,52,0,5,15,5,4,29,66,2.275862069
Vetch,Yes,Thursday,19-Jul,7,25,13,44,0,2,1,3,12,18,61,3.388888889
Vetch,No,Thursday,19-Jul,7,25,14,51,0,0,9,31,2,42,119,2.833333333
Vetch,Yes,Thursday,19-Jul,7,25,15,55,0,7,16,6,1,30,61,2.033333333
Vetch,No,Thursday,19-Jul,7,25,16,43,0,0,4,4,7,15,48,3.2
Vetch,Yes,Thursday,19-Jul,7,25,17,141,0,9,62,18,7,96,215,2.239583333
None,No,Thursday,19-Jul,7,25,18,162,0,0,0,8,97,105,412,3.923809524
None,Yes,Thursday,19-Jul,7,25,19,134,0,37,38,16,2,93,169,1.817204301
None,No,Thursday,19-Jul,7,25,20,129,0,0,4,38,38,80,274,3.425
None,Yes,Thursday,19-Jul,7,25,21,128,0,15,40,15,8,78,172,2.205128205
None,No,Thursday,19-Jul,7,25,22,162,0,9,44,35,5,93,222,2.387096774
None,Yes,Thursday,19-Jul,7,25,23,162,0,70,9,0,0,79,88,1.113924051
None,No,Thursday,19-Jul,7,25,24,142,0,1,42,50,5,98,255,2.602040816
